SUP_FAM	CHR	START	END	FAM	COL6	COL7
Ivk	2L	9009004	9009314	LINE/I	182878	439342
412	2L	9448656	9456144	LTR/Gypsy	-15	630
hobo	2L	9456774	9459790	DNA/hAT-hobo	630	110733
roo	2L	9570523	9577433	LTR/Pao	-1	7086
flea	2L	9584519	9588345	LTR/Gypsy	1	154184
FB	2L	9742529	9746282	DNA/TcMar-Tc1	-269	26279
roo	2L	9772561	9779814	LTR/Pao	-8	269671
Ddip\Bari1	2L	10049485	10049536	DNA/TcMar-Tc1	269671	77262
mdg1	2L	10126798	10134203	LTR/Gypsy	-11	45632
H	2L	10179835	10179955	DNA/hAT-hobo	45632	19652
Rt1b	2L	10199607	10204791	LINE/R1	19652	142279
jockey	2L	10347070	10348500	LINE/I-Jockey	142279	211853
F-element	2L	10560353	10564152	LINE/I-Jockey	211853	234295
flea	2L	10798447	10801108	LTR/Gypsy	0	7923
roo	2L	10809031	10818127	LTR/Pao	-1	179385
pogo	2L	10997512	10999608	DNA/TcMar-Pogo	179385	33284
Cr1a	2L	11032892	11033040	LINE/CR1	33284	333762
roo	2L	11366802	11375883	LTR/Pao	-1	354474
opus	2L	11730357	11737087	LTR/Gypsy	1	113524
Quasimodo	2L	11850611	11857994	LTR/Gypsy	113524	329567
412	2L	12187561	12195103	LTR/Gypsy	1	1677
hobo	2L	12255069	12258085	DNA/hAT-hobo	58250	9355
hopper	2L	12267440	12268877	DNA/CMC-Transib	9355	32603
H	2L	12301480	12301547	DNA/hAT-hobo	32603	79933
hobo	2L	12381480	12382566	DNA/hAT-hobo	79933	148786
297	2L	12531352	12537212	LTR/Gypsy	148786	358965
Burdock	2L	12896177	12898756	LTR/Gypsy	131	61470
jockey	2L	12960226	12960590	LINE/I-Jockey	61470	38128
H	2L	12998718	12998783	DNA/hAT-hobo	38128	49143
X-element	2L	13047926	13048109	LINE/I-Jockey	49143	89312
297	2L	13137421	13143019	LTR/Gypsy	-27	89743
jockey	2L	13232762	13233138	LINE/I-Jockey	89743	137527
blood	2L	13370665	13378075	LTR/Gypsy	39	7903
FB	2L	13385978	13386031	DNA/TcMar-Tc1	7903	102708
hobo	2L	13488739	13491749	DNA/hAT-hobo	102708	3102
jockey	2L	13494851	13495398	LINE/I-Jockey	3102	66647
FB	2L	13604735	13607102	DNA/TcMar-Tc1	1	28296
hobo	2L	13635398	13638378	DNA/hAT-hobo	28296	26908
Bari1	2L	13665286	13667019	DNA/TcMar-Tc1	26908	3273
jockey	2L	13670292	13675043	LINE/I-Jockey	1	142010
S	2L	13817053	13817246	LTR/Gypsy	142010	83794
3S18	2L	13901040	13907169	LTR/Pao	1	133729
jockey	2L	14040898	14043276	LINE/I-Jockey	-2	12281
Doc	2L	14055557	14055757	LINE/I-Jockey	12281	10238
412	2L	14065995	14073560	LTR/Gypsy	-15	216540
mdg1	2L	14290100	14297383	LTR/Gypsy	-11	12910
pogo	2L	14310293	14311250	DNA/TcMar-Pogo	-1	98586
Juan	2L	14409836	14409922	LINE/I-Jockey	98586	100619
Transpac	2L	14510541	14515788	LTR/Gypsy	1	56719
roo	2L	14572507	14581629	LTR/Pao	-1	100205
roo	2L	14681834	14690928	LTR/Pao	-1	74602
HB	2L	14765530	14765574	DNA/TcMar-Tc1	74602	78246
copia	2L	14843820	14848977	LTR/Copia	78246	253168
opus	2L	15102145	15109670	LTR/Gypsy	1	28820
H	2L	15138490	15138548	DNA/hAT-hobo	28820	122242
G5A	2L	15260790	15260876	DNA/P	122242	317510
pogo	2L	15578386	15578575	DNA/TcMar-Pogo	10	309759
BS	2L	15888334	15888380	LINE/I-Jockey	309759	8036
ambiguous	2L	15924525	15931604	LTR/Gypsy	27753	61929
Doc	2L	15993533	15998224	LINE/I-Jockey	59	31361
1360	2L	16029585	16030697	DNA/P	-49	82096
Doc	2L	16112793	16117484	LINE/I-Jockey	59	41866
hobo	2L	16159350	16162330	DNA/hAT-hobo	41866	1657
BS3	2L	16163987	16164081	LINE/I-Jockey	1657	28491
opus	2L	16198843	16206455	LTR/Gypsy	1	8918
roo	2L	16215373	16215802	LTR/Pao	8918	6671
297	2L	16222473	16222887	LTR/Gypsy	6671	278865
1360	2L	16501752	16503749	DNA/P	-49	105524
F-element	2L	16609273	16613969	LINE/I-Jockey	105524	90995
pogo	2L	16704964	16705153	DNA/TcMar-Pogo	10	149095
hobo	2L	16947997	16951013	DNA/hAT-hobo	89233	108445
Doc	2L	17059458	17061736	LINE/I-Jockey	108445	167715
Doc	2L	17229451	17234142	LINE/I-Jockey	59	26499
412	2L	17260641	17268103	LTR/Gypsy	-15	187515
17.6	2L	17543106	17550596	LTR/Gypsy	87373	178112
pogo	2L	17728708	17729851	DNA/TcMar-Pogo	-1	203821
opus	2L	17950445	17950961	LTR/Gypsy	16619	26791
hobo	2L	17977752	17980768	DNA/hAT-hobo	26791	12191
BS	2L	17992959	17998074	LINE/I-Jockey	4	1462
Tc1	2L	18104014	18104619	DNA/TcMar-Tc1	104328	21259
Quasimodo	2L	18125878	18133260	LTR/Gypsy	21259	729
FB	2L	18133989	18136994	DNA/TcMar-Tc1	1	77961
jockey	2L	18214955	18215298	LTR/Gypsy	77961	17768
roo	2L	18233066	18242168	LTR/Pao	-1	38901
F-element	2L	18281069	18285765	LINE/I-Jockey	38901	68188
mdg3	2L	18353953	18359469	LTR/Gypsy	1	22191
roo	2L	18381660	18390771	LTR/Pao	-1	78163
S	2L	18636505	18637001	DNA/TcMar-Tc1	167449	39558
F-element	2L	18676559	18679878	LINE/I-Jockey	39558	31946
ambiguous	2L	18711824	18712036	LTR/Gypsy	31946	332053
hopper2	2L	19044089	19044515	DNA/CMC-Transib	83	106697
I	2L	19151212	19151523	LINE/R1	106697	5118
jockey	2L	19156641	19156925	LINE/I-Jockey	5118	130490
BS	2L	19287415	19287517	LINE/I-Jockey	130490	78588
BS	2L	19366105	19366465	LINE/I-Jockey	78588	35931
X	2L	19402396	19402557	LINE/I-Jockey	35931	105458
Cr1a	2L	19508015	19508620	LINE/CR1	2	111343
jockey	2L	19619963	19621158	LINE/I-Jockey	111343	87122
1360	2L	19708280	19711704	DNA/P	-50	65558
copia	2L	19777262	19782409	LTR/Copia	65558	11328
G4	2L	19793737	19794555	LINE/I-Jockey	98	281018
invader3	2L	20149134	20152130	LTR/Gypsy	-7	594
ambiguous	2L	20328567	20335620	LTR/Gypsy	154864	193441
Rt1a	2L	20529061	20529808	LINE/R1	193441	24853
Cr1a	2L	20554661	20555449	LINE/CR1	107	535
roo	2L	20621508	20630630	LTR/Pao	-1	NA
hobo	2R	8295048	8298064	DNA/hAT-hobo	NA	84076
ambiguous	2R	8382140	8382194	LINE/I-Jockey	84076	76626
mariner2	2R	8458820	8459791	DNA/TcMar-Tc1	6	113870
1360	2R	8573661	8574443	LTR/Gypsy	3	31829
hopper	2R	8606272	8606405	DNA/CMC-Transib	31829	174970
BS	2R	8781375	8781830	LINE/I-Jockey	174970	32439
pogo	2R	8814269	8814457	DNA/TcMar-Pogo	7	19703
HMS-Beagle	2R	8834160	8834557	LTR/Gypsy	297	75996
diver	2R	8910553	8916686	LTR/Pao	1	27286
F-element	2R	8943972	8948648	LINE/I-Jockey	27286	10421
F-element	2R	8959069	8963763	LINE/I-Jockey	10421	193857
Tc1	2R	9157620	9157737	DNA/TcMar-Tc1	193857	62258
FB	2R	9219995	9222086	DNA/TcMar-Tc1	1	150139
roo	2R	9372225	9381393	LTR/Pao	-1	11595
Doc	2R	9392988	9397005	LINE/I-Jockey	11595	39333
Bari1	2R	9436338	9438060	DNA/TcMar-Tc1	39333	72871
roo	2R	9510931	9511359	LTR/Pao	72871	4953
ambiguous	2R	9555627	9562876	LTR/Gypsy	1	34038
F-element	2R	9596914	9601230	LINE/I-Jockey	34038	68284
Doc	2R	9669514	9672563	LINE/I-Jockey	68284	158770
Ivk	2R	9831333	9836688	LINE/I	1	91486
pogo	2R	9928174	9928363	DNA/TcMar-Pogo	10	144947
jockey	2R	10073310	10078334	LINE/I-Jockey	144947	184936
ambiguous	2R	10263270	10263565	DNA/CMC-Transib	184936	37604
Rt1a	2R	10406157	10407775	LINE/R1	104902	101927
roo	2R	10509702	10518823	LTR/Pao	-1	88104
S-element	2R	10606927	10608671	DNA/TcMar-Tc1	88104	59221
I	2R	10667892	10668825	LINE/I	59221	28382
jockey	2R	10697207	10702240	LINE/I-Jockey	28382	21180
ambiguous	2R	10723420	10723451	LTR/Copia	21180	21415
FB	2R	10744866	10744913	DNA/TcMar-Tc1	21415	19252
mdg1	2R	10764165	10771538	LTR/Gypsy	-11	59233
F-element	2R	10830771	10834928	LINE/I-Jockey	59233	72330
Doc	2R	10907258	10909535	LINE/I-Jockey	72330	27011
roo	2R	10936546	10936918	LTR/Pao	27011	891
roo	2R	10937809	10937942	LTR/Pao	891	729
ambiguous	2R	10939863	10940293	LTR/Pao	647	27170
jockey	2R	11016589	11016928	LTR/Gypsy	49022	20123
ambiguous	2R	11037051	11038026	DNA/P	-57	37391
1360	2R	11075417	11076538	DNA/P	37391	15621
FB	2R	11092159	11092543	DNA/TcMar-Tc1	-94	54094
gypsy	2R	11146637	11154071	DNA/P	-84	35523
pogo	2R	11189594	11190744	DNA/TcMar-Pogo	-8	85672
pogo	2R	11276416	11276605	DNA/TcMar-Pogo	10	9200
roo	2R	11285805	11294823	LTR/Pao	-1	150630
412	2R	11445453	11452964	LTR/Gypsy	-15	56072
412	2R	11509036	11516538	LTR/Gypsy	-15	342239
FB	2R	11858777	11858894	DNA/TcMar-Tc1	342239	52235
Tirant	2R	11911129	11916642	LTR/Gypsy	20	6854
copia	2R	11923496	11928642	LTR/Copia	6854	24054
1360	2R	11952696	11952745	DNA/P	-39	40140
copia	2R	12174516	12179357	LTR/Copia	57822	24064
1360	2R	12203421	12203470	DNA/P	-39	40603
ambiguous	2R	12244073	12251919	LTR/Gypsy	1	31420
blood	2R	12668925	12676340	LTR/Gypsy	39	14337
roo	2R	12690677	12699452	LTR/Pao	-1	49793
Burdock	2R	12749245	12755661	LTR/Gypsy	131	74987
hobo	2R	12830648	12833664	DNA/hAT-hobo	74987	537915
copia	2R	13371579	13376725	LTR/Copia	537915	74669
pogo	2R	13451394	13451583	DNA/TcMar-Pogo	10	10100
hopper	2R	13461683	13463121	DNA/CMC-Transib	10100	123723
jockey	2R	13586844	13587781	LINE/I-Jockey	123723	64810
Tc1-2	2R	13652591	13654031	DNA/TcMar-Tc1	64810	200396
FB	2R	13875234	13877434	DNA/TcMar-Tc1	-359	240319
ambiguous	2R	14117753	14125313	LTR/Gypsy	2	205571
blood	2R	14330884	14338293	LTR/Gypsy	24	38898
pogo	2R	14377191	14378686	DNA/TcMar-Pogo	-1	56012
roo	2R	14434698	14443797	LTR/Pao	-1	148881
copia	2R	14592678	14597825	LTR/Copia	148881	116428
rover	2R	14714253	14721722	LTR/Gypsy	-10	60870
ambiguous	2R	14782592	14782770	LTR/Gypsy	60870	159685
F-element	2R	14942455	14947151	LINE/I-Jockey	159685	25751
jockey	2R	14972902	14974570	LINE/I-Jockey	25751	51579
H	2R	15026149	15026198	DNA/hAT-hobo	51579	38536
Transpac	2R	15064734	15065063	LTR/Gypsy	38536	41535
mdg1	2R	15266864	15272250	LTR/Gypsy	-11	134041
hopper	2R	15406291	15407734	DNA/CMC-Transib	134041	25452
hopper	2R	15433186	15436297	DNA/CMC-Transib	243	123609
Tc1	2R	15559906	15560645	DNA/TcMar-Tc1	-60	426808
BS	2R	15987453	15988347	LINE/I-Jockey	4	27760
opus	2R	16016107	16023621	LTR/Gypsy	1	180226
ambiguous	2R	16212685	16220549	LTR/Gypsy	20	53300
jockey	2R	16273849	16274127	LINE/I-Jockey	53300	15247
FB	2R	16289374	16293241	DNA/TcMar-Tc1	-359	47495
hobo	2R	16340736	16343752	DNA/hAT-hobo	47495	265873
pogo	2R	16609625	16609814	DNA/TcMar-Pogo	10	24148
ambiguous	2R	16633962	16634169	DNA/CMC-Transib	24148	54178
1360	2R	16688347	16689042	LINE/I-Jockey	-11	1566
1360	2R	16690608	16691064	DNA/P	1566	558371
Juan	2R	17249435	17249667	LINE/I-Jockey	558371	229674
1360	2R	17479341	17480457	DNA/P	229674	31794
blood	2R	17599170	17606482	LTR/Gypsy	-5	6811
ambiguous	2R	18341976	18342104	LINE/R1	728627	111443
ambiguous	2R	18453547	18453984	LTR/Pao	111443	2637
copia	2R	18456621	18456826	LTR/Copia	-75	10599
G5A	2R	18467425	18467583	DNA/P	10599	89620
flea	2R	18557203	18562174	LTR/Gypsy	1	96125
hobo	2R	18658299	18661279	DNA/hAT-hobo	96125	103257
Tc3	2R	18776315	18776418	DNA/TcMar-Tc1	11706	62333
3S18	2R	18838751	18844880	LTR/Pao	1	107258
roo	2R	18952138	18961242	LTR/Pao	-1	181478
roo	2R	19142720	19143009	LTR/Pao	181478	783
roo	2R	19143792	19144206	LTR/Pao	783	5112
roo	2R	19149318	19149456	LTR/Pao	5112	201009
F-element	2R	19350465	19355161	LINE/I-Jockey	201009	3118
H	2R	19358279	19358399	DNA/hAT-hobo	3118	33122
roo	2R	19391521	19399604	LTR/Pao	1	283093
Idefix	2R	19864350	19871813	LTR/Gypsy	177	103015
I	2R	19974828	19980205	LINE/I	103015	65257
F-element	2R	20045462	20050157	LINE/I-Jockey	65257	127050
Bari1	2R	20177207	20178930	DNA/TcMar-Tc1	127050	558557
mdg3	2R	20737487	20743005	LTR/Gypsy	1	53447
3S18	2R	20796452	20802578	LTR/Pao	1	205855
roo	2R	21008433	21008860	LTR/Pao	205855	42463
ambiguous	2R	21051323	21051613	LTR/Copia	228	2442
S2	2R	21054055	21054285	DNA/TcMar-Tc1	2442	61073
copia	2R	21115358	21120503	LTR/Copia	61073	29375
roo	2R	21149878	21159029	LTR/Pao	1	170808
3S18	2R	21329837	21335963	LTR/Pao	1	84347
ambiguous	2R	21420310	21420820	LINE/R1	84347	139411
gypsy	2R	21560231	21567538	LTR/Gypsy	2	283890
transib2	2R	21851428	21851465	DNA/CMC-Transib	283890	299940
Bari1	2R	22151405	22153127	DNA/TcMar-Tc1	299940	8436
F-element	2R	22161563	22164468	LINE/I-Jockey	-20	88179
I	2R	22252647	22258039	LINE/I	88179	359137
H	2R	22717554	22717609	DNA/hAT-hobo	88112	126761
FB	2R	22844370	22853434	DNA/TcMar-Tc1	-269	33139
roo	2R	22886573	22895641	LTR/Pao	-1	73493
roo	2R	22969134	22977896	LTR/Pao	-1	516859
BS	2R	23836974	23837097	LINE/I-Jockey	342176	50055
412	2R	23887152	23894659	LTR/Gypsy	-15	379162
Doc	2R	24273821	24278512	LINE/I-Jockey	379162	56874
Doc	2R	24335386	24340077	LINE/I-Jockey	56874	85874
hobo	2R	24425951	24428961	DNA/hAT-hobo	85874	246830
flea	2R	24675791	24677843	LTR/Gypsy	1	736
flea	2R	24678579	24679151	LTR/Gypsy	0	78437
Doc	2R	24757588	24761768	LINE/I-Jockey	58	330823
FB	2R	25092591	25093742	DNA/TcMar-Tc1	-81	98440
Rt1b	2R	25192182	25194534	DNA/hAT-Ac	-36	54834
297	2R	25249368	25249781	LTR/Gypsy	54834	189822
roo	2R	25439603	25448207	LTR/Pao	-17	112293
hopper	2R	25560500	25561939	DNA/CMC-Transib	112293	63322
Tabor	2R	25625261	25632417	LTR/Gypsy	1	32152
jockey	2R	25664569	25668784	LINE/I-Jockey	32152	109577
Doc	2R	25778361	25780675	LINE/I-Jockey	-1	52484
roo	2R	25833159	25838199	LTR/Pao	-1	4285
mdg1	2R	25842484	25849814	LTR/Gypsy	1	430544
1360	2R	26280358	26280404	DNA/P	430544	132538
G5A	2R	26412942	26413132	DNA/P	132538	21429
412	2R	26434561	26442073	LTR/Gypsy	1	16601
HB	2R	26458674	26459693	DNA/TcMar-Tc1	23	69884
HB	2R	26529577	26529846	DNA/TcMar-Tc1	8	58806
Ivk	2R	26588652	26588710	LINE/I	58806	22674
ambiguous	2R	27999296	28062771	DNA/P	64	1382
copia	3L	82564	87717	LTR/Copia	NA	129280
jockey	3L	216997	222029	LINE/I-Jockey	129280	342208
gypsy	3L	564237	564718	LTR/Gypsy	342208	102212
ambiguous	3L	666930	666961	LTR/Copia	102212	20876
FB	3L	687837	689922	DNA/TcMar-Tc1	1	2265
hobo	3L	692187	695203	DNA/hAT-hobo	2265	60567
I	3L	1003755	1009119	LINE/I	138367	35802
roo	3L	1044921	1054020	LTR/Pao	-1	204157
jockey	3L	1258177	1258250	LINE/I-Jockey	204157	19946
roo	3L	1278196	1285124	LTR/Pao	0	56576
pogo	3L	1341700	1341889	DNA/TcMar-Pogo	10	121559
Juan	3L	1463448	1463618	LINE/I-Jockey	121559	103590
ambiguous	3L	1987762	1988192	LTR/Pao	418127	59903
roo	3L	2048095	2057184	LTR/Pao	-1	59158
roo	3L	2116342	2116769	LTR/Pao	59158	186199
jockey	3L	2302968	2308005	LINE/I-Jockey	186199	8733
roo	3L	2316738	2325839	LTR/Pao	-1	23282
opus	3L	2349121	2359992	LTR/Gypsy	1	79017
Max-element	3L	2439009	2447646	LTR/Pao	1	249272
FB	3L	2696918	2704303	DNA/TcMar-Tc1	-359	65391
Stalker2	3L	2769694	2777545	LTR/Gypsy	20	326053
roo	3L	3103598	3104026	LTR/Pao	326053	44994
roo	3L	3149020	3158122	LTR/Pao	-1	59345
Ivk	3L	3217467	3217586	LINE/I	59345	147128
1360	3L	3364714	3365834	DNA/P	-50	21912
jockey	3L	3387746	3388026	LINE/I-Jockey	21912	173469
1360	3L	3561495	3562736	DNA/P	-51	430616
roo	3L	3993352	4002451	LTR/Pao	-1	33990
I	3L	4036441	4041819	LINE/I	33990	285452
roo	3L	4327271	4336008	LTR/Pao	-1	60772
FB	3L	4479197	4483063	DNA/TcMar-Tc1	-358	70793
opus	3L	4553856	4556616	LTR/Gypsy	1	182621
jockey	3L	4805415	4810448	LINE/I-Jockey	54837	86947
pogo	3L	4897395	4897581	DNA/TcMar-Pogo	0	94035
jockey	3L	4991616	4996649	LINE/I-Jockey	94035	46243
Tirant	3L	5042892	5047875	LTR/Gypsy	-15	327423
ambiguous	3L	5406758	5413823	LTR/Gypsy	19352	190098
roo	3L	5603921	5612933	LTR/Pao	-1	26131
ambiguous	3L	5639064	5639492	LTR/Pao	26131	216937
I	3L	5856429	5861806	LINE/I	216937	60878
copia	3L	5922684	5927831	LTR/Copia	60878	111307
mdg1	3L	6039138	6046486	LTR/Gypsy	1	92994
jockey	3L	6139480	6139765	LINE/I-Jockey	92994	46628
gypsy12	3L	6186393	6186464	LTR/Gypsy	46628	59383
Doc	3L	6245847	6248440	LINE/I-Jockey	59383	22911
G2	3L	6271351	6271872	LINE/I-Jockey	27	2201
roo	3L	6274073	6282350	LTR/Pao	1	11317
roo	3L	6408247	6417419	LTR/Pao	-1	62247
297	3L	6479666	6480079	LTR/Gypsy	62247	70244
roo	3L	6550323	6559427	LTR/Pao	-1	44217
opus	3L	6603644	6611156	LTR/Gypsy	1	1067
opus	3L	6612223	6619734	LTR/Gypsy	1	375074
hobo	3L	6994808	6997824	DNA/hAT-hobo	375074	110110
pogo	3L	7107934	7108123	DNA/TcMar-Pogo	10	153028
BS	3L	7261151	7261271	LINE/I-Jockey	153028	54132
blood	3L	7315403	7322817	LTR/Gypsy	84	47069
297	3L	7369886	7373232	LTR/Gypsy	1	49073
jockey	3L	7422305	7425118	LINE/I-Jockey	-7	34236
hopper	3L	7459354	7460798	DNA/CMC-Transib	34236	42067
Quasimodo	3L	7502865	7503237	LTR/Copia	31	28166
roo	3L	7531403	7540055	LTR/Pao	-1	387804
roo	3L	7927859	7936974	LTR/Pao	1	22752
opus	3L	7959726	7967241	LTR/Gypsy	1	175963
Quasimodo	3L	8143204	8150580	LTR/Gypsy	175963	10851
FB	3L	8161431	8166108	DNA/TcMar-Tc1	-269	12377
Rt1a	3L	8400704	8405893	LINE/R1	-123	158403
Tc1-2	3L	8564296	8564695	DNA/TcMar-Tc1	-3	108478
mdg1	3L	8884496	8891852	LTR/Gypsy	-11	38363
I	3L	8930215	8935592	LINE/I	38363	202163
roo	3L	9137755	9146844	LTR/Pao	-1	1167
Doc	3L	9148011	9150395	LINE/I-Jockey	1167	455736
412	3L	9744831	9749225	LTR/Gypsy	-4	78299
mdg3	3L	9827524	9831741	LTR/Gypsy	-2	88713
BS	3L	9920454	9921696	LINE/I-Jockey	4	23658
mdg1	3L	9945354	9952714	LTR/Gypsy	-11	199450
roo	3L	10152164	10161363	LTR/Pao	-1	35187
mdg1	3L	10196550	10203943	LTR/Gypsy	-11	8260
copia	3L	10212203	10217349	LTR/Copia	8260	22586
17.6	3L	10239935	10247434	LTR/Gypsy	22586	17212
I	3L	10264646	10265911	LINE/I	17212	139477
pogo	3L	10405388	10405574	DNA/TcMar-Pogo	0	60720
BS	3L	10466294	10468055	LINE/I-Jockey	4	215519
jockey	3L	10683574	10683948	LINE/I-Jockey	215519	166618
1731	3L	10850566	10850600	LTR/Copia	166618	2308
copia	3L	10852908	10858053	LTR/Copia	2308	6065
FB	3L	10864118	10868566	DNA/TcMar-Tc1	-269	19953
pogo	3L	10888519	10889203	DNA/TcMar-Pogo	0	114376
I	3L	11003579	11008948	LINE/I	114376	2996
roo	3L	11011944	11012371	LTR/Pao	2996	179756
blood	3L	11192127	11199552	LTR/Gypsy	39	109711
X-element	3L	11309263	11310907	LINE/I-Jockey	109711	84704
roo	3L	11395611	11404373	LTR/Pao	0	230054
Doc	3L	11634427	11637119	LINE/I-Jockey	230054	78880
17.6	3L	11715999	11723486	LTR/Gypsy	78880	52415
17.6	3L	12026049	12026566	LTR/Gypsy	237354	18426
G5A	3L	12044992	12045185	DNA/P	18426	5524
roo	3L	12050709	12059809	LTR/Pao	-1	21183
pogo	3L	12080992	12082235	DNA/TcMar-Pogo	-8	12036
3S18	3L	12094271	12100400	LTR/Pao	1	149280
hobo	3L	12249680	12252695	DNA/hAT-hobo	149280	52925
pogo	3L	12305620	12305809	DNA/TcMar-Pogo	10	89679
micropia	3L	12395488	12400975	LTR/Gypsy	-3	22234
roo	3L	12467077	12476174	LTR/Pao	-1	69437
hopper	3L	12545611	12547080	DNA/CMC-Transib	-820	8721
jockey	3L	12555801	12556170	LINE/I-Jockey	8721	571529
297	3L	13127699	13133220	LTR/Gypsy	1	471251
jockey	3L	13604471	13605126	LINE/I-Jockey	471251	207119
hobo	3L	13812245	13815261	DNA/hAT-hobo	207119	98741
hobo	3L	13914002	13917018	DNA/hAT-hobo	98741	29754
flea	3L	13946772	13951774	LTR/Gypsy	0	85515
copia	3L	14037289	14042435	LTR/Copia	85515	32606
hobo	3L	14075041	14078057	DNA/hAT-hobo	32606	38160
Doc	3L	14116217	14120909	LINE/I-Jockey	38160	31581
pogo	3L	14152490	14152679	DNA/TcMar-Pogo	10	187246
297	3L	14339925	14343953	LTR/Gypsy	73	49156
X	3L	14393109	14393198	LINE/I-Jockey	49156	35603
ambiguous	3L	14428801	14429230	LTR/Pao	35603	40681
Transpac	3L	14469911	14475159	LTR/Gypsy	1	40684
Quasimodo	3L	14515843	14523227	LTR/Gypsy	40684	243547
FB	3L	14766774	14774885	DNA/TcMar-Tc1	1	6416
297	3L	14781301	14787121	LTR/Gypsy	-53	102132
diver	3L	14889253	14895385	LTR/Pao	1	26288
ambiguous	3L	14921673	14928743	LTR/Gypsy	26288	15122
ambiguous	3L	14943865	14944272	LTR/Copia	345	139950
297	3L	15084222	15088130	LTR/Gypsy	-566	32878
412	3L	15121008	15128320	LTR/Gypsy	1	91975
transib2	3L	15220295	15220503	DNA/CMC-Transib	-14	76566
Doc	3L	15297069	15301761	LINE/I-Jockey	59	5327
pogo	3L	15307088	15307277	DNA/TcMar-Pogo	10	11535
BS	3L	15335178	15335250	LINE/I-Jockey	9977	20840
ambiguous	3L	15356090	15359306	LTR/Pao	17	94175
S-element	3L	15827365	15829106	DNA/TcMar-Tc1	373825	207779
X-element	3L	16036885	16038933	LINE/I-Jockey	2	149535
roo	3L	16188468	16197577	LTR/Pao	-1	96925
mdg3	3L	16294502	16300020	LTR/Gypsy	1	106479
ambiguous	3L	16406499	16407632	DNA/P	-50	19339
roo	3L	16447518	16456119	LTR/Pao	-17	117590
F-element	3L	16573709	16578406	LINE/I-Jockey	117590	29231
ambiguous	3L	16607637	16609608	LTR/Gypsy	29231	259256
Rt1b	3L	16971306	16976703	LINE/R1	101744	1385
G2	3L	16978088	16978466	LINE/I-Jockey	1385	9215
roo	3L	16987681	16996677	LTR/Pao	-1	30294
297	3L	17026971	17040145	LTR/Gypsy	1	20502
mdg3	3L	17060647	17066109	LTR/Gypsy	1	35435
ambiguous	3L	17101544	17105136	LTR/Gypsy	1	9636
412	3L	17114772	17122275	LTR/Gypsy	-15	121919
roo	3L	17244194	17251832	LTR/Pao	-12	164550
X-element	3L	17416382	17421107	LINE/I-Jockey	2	34551
jockey	3L	17455658	17455997	LTR/Gypsy	34551	4244
412	3L	17460241	17467669	LTR/Gypsy	-15	102495
HB	3L	17570164	17570733	DNA/TcMar-Tc1	-1	1881
